Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2012-12-06,0.422222,0.231746,0.346032,1.0,0.34991125,0.07618999999999998,0.38024456793632855,0.4808905717049035,0.2795985641677536,1416.34,1385.43,1409.28
2012-12-13,0.432331,0.266917,0.300752,1.0,0.368127125,0.131579,0.38024456793632855,0.4808905717049035,0.2795985641677536,1438.59,1398.23,1428.48
2012-12-20,0.464,0.288,0.248,1.0,0.3895705,0.21600000000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1448.0,1411.88,1435.81
2012-12-27,0.44403,0.253731,0.302239,1.0,0.40040212500000005,0.141791,0.38024456793632855,0.4808905717049035,0.2795985641677536,1443.7,1416.43,1419.83
2013-01-03,0.387097,0.250896,0.362007,1.0,0.400667125,0.02509,0.38024456793632855,0.4808905717049035,0.2795985641677536,1462.43,1398.11,1462.42
2013-01-10,0.464497,0.266272,0.269231,1.0,0.422699875,0.195266,0.38024456793632855,0.4808905717049035,0.2795985641677536,1467.94,1398.11,1461.02
2013-01-17,0.439437,0.287324,0.273239,1.0,0.43285999999999997,0.166198,0.38024456793632855,0.4808905717049035,0.2795985641677536,1473.96,1451.64,1472.63
2013-01-24,0.523392,0.233918,0.24269,0.9999999999999999,0.44712575,0.280702,0.38024456793632855,0.4808905717049035,0.2795985641677536,1496.13,1463.76,1494.81
2013-01-31,0.480447,0.276536,0.243017,1.0,0.45440387499999996,0.23743,0.38024456793632855,0.4808905717049035,0.2795985641677536,1509.94,1481.16,1501.96
2013-02-07,0.427673,0.27673,0.295597,1.0,0.45382162499999995,0.13207600000000003,0.38024456793632855,0.4808905717049035,0.2795985641677536,1514.96,1495.02,1512.12
2013-02-14,0.422535,0.290141,0.287324,1.0,0.44863849999999994,0.13521099999999997,0.38024456793632855,0.4808905717049035,0.2795985641677536,1524.69,1495.71,1520.33
