Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
TIF,"Tiffany & Company",130.84,0.030000000000001,+0.02%,130.91,130.73,4452031,10/30/20
TJX,"TJX Companies",50.8,-0.93,-1.80%,51.54,50.06,8293726,10/30/20
TMO,"Thermo Fisher Scientific Inc",473.12,1.24,+0.26%,475.47,465.5,1251895,10/30/20
TMUS,"T-Mobile US",109.57,0.06,+0.05%,109.76,107.56,4041100,10/30/20
TPR,"Tapestry Inc",22.23,-0.5,-2.20%,22.84,21.97,10682284,10/30/20
TROW,"T Rowe Price Group",126.66,-4.78,-3.64%,132.01,124.94,1768500,10/30/20
TRV,"The Travelers Companies Inc",120.71,-1.75,-1.43%,122.79,118.85,2630284,10/30/20
TSCO,"Tractor Supply Company",133.21,0.19,+0.14%,133.61,131,1393700,10/30/20
TSN,"Tyson Foods",57.23,-0.010000000000005,-0.02%,57.25,56.37,2488732,10/30/20
TT,"Trane Technologies Plc",132.75,0.69999999999999,+0.53%,135.9,130.33,1596407,10/30/20
TTWO,"Take-Two Interacti",154.92,-7.85,-4.82%,162.77,153.94,1680400,10/30/20
TWTR,"Twitter Inc",41.36,-11.07,-21.11%,45.18,40.83,86425061,10/30/20
TXN,"Texas Instruments",144.59,-1.6,-1.09%,145.95,142.53,5427100,10/30/20
TXT,"Textron Inc",35.8,1.73,+5.08%,35.81,34.13,2022552,10/30/20
TYL,"Tyler Technologies",384.38,-4.29,-1.10%,387.37,377.4,209060,10/30/20
UA,"Under Armour Inc Cl C",12.23,0.19,+1.58%,13.26,11.89,13341686,10/30/20
UAA,"Under Armour",13.84,0.050000000000001,+0.36%,15.39,13.52,21996528,10/30/20
UAL,"United Airlines Holdings Inc",33.86,0.29,+0.86%,34.02,32.83,18795301,10/30/20
UDR,"United Dominion Realty Trust",31.24,1.32,+4.41%,31.55,29.7,3768226,10/30/20
UHS,"Universal Health Services",109.55,4.1,+3.89%,112.65,106.01,1215861,10/30/20
ULTA,"Ulta Beauty Inc",206.77,1.15,+0.56%,207.89,201.11,905200,10/30/20
UNH,"Unitedhealth Group Inc",305.14,1.46,+0.48%,307.17,299.6,3557355,10/30/20
UNM,"Unumprovident Corp",17.66,0.62,+3.64%,17.69,16.95,3730845,10/30/20
UNP,"Union Pacific Corp",177.19,1.15,+0.65%,177.39,173.13,3747953,10/30/20
UPS,"United Parcel Service",157.11,-4.25,-2.63%,160.46,155.25,5243449,10/30/20
URI,"United Rentals",178.29,5.07,+2.93%,179.38,170.14,1234404,10/30/20
USB,"U.S. Bancorp",38.95,0.88,+2.31%,38.96,37.76,6210539,10/30/20
V,"Visa Inc",181.71,-3.16,-1.71%,184.22,179.23,10256303,10/30/20
VAR,"Varian Medical Systems",172.8,0.52000000000001,+0.30%,172.8,172.18,568715,10/30/20
VFC,"V.F. Corp",67.2,-1.66,-2.41%,68.88,66.26,3192899,10/30/20
VIAC,"Viacomcbs Inc Cl B",28.57,0.44,+1.56%,28.59,27.66,12166001,10/30/20
VLO,"Valero Energy Corp",38.61,1.08,+2.88%,38.65,36.91,6550829,10/30/20
VMC,"Vulcan Materials Company",144.84,1.34,+0.93%,145.9,141.37,834191,10/30/20
VNO,"Vornado Realty Trust",30.73,0.53,+1.75%,30.81,29.79,3439510,10/30/20
VNT,"Vontier Corp [Vnt/I]",28.74,0.46,+1.63%,28.75,27.63,2948265,10/30/20
VRSK,"Verisk Analytics Inc",177.97,-1.25,-0.70%,179.81,175.44,886200,10/30/20
VRSN,"Verisign Inc",190.7,-0.89,-0.46%,192.13,189.37,565000,10/30/20
VRTX,"Vertex Pharmaceutic",208.36,1.35,+0.65%,211.64,203.51,2829600,10/30/20
VTR,"Ventas Inc",39.47,-0.43,-1.08%,40.22,38.83,2123119,10/30/20
VZ,"Verizon Communications Inc",56.99,0.23,+0.41%,57.07,56.37,17636905,10/30/20
WAB,"Wabtec Corp",59.3,0.55,+0.94%,60,58,1784252,10/30/20
WAT,"Waters Corp",222.82,-2.76,-1.22%,226.41,219.12,506978,10/30/20
WBA,"Walgreens Boots Alliance",34.04,0.52,+1.55%,34.05,33.36,10514300,10/30/20
WDC,"Western Digital Cp",37.73,-0.38,-1.00%,38.24,36.97,5068900,10/30/20
WEC,"Wisconsin Energy Corp",100.55,0.13,+0.13%,101,99.04,1393574,10/30/20
WELL,"Welltower Inc",53.77,-0.86,-1.57%,54.68,52.57,1816064,10/30/20
WFC,"Wells Fargo & Company",21.45,0.31,+1.47%,21.46,20.84,34608757,10/30/20
WHR,"Whirlpool Corp",184.96,-1.42,-0.76%,189.01,180.4,827367,10/30/20
WLTW,"Willis Towers WT",182.48,-3.77,-2.02%,187.66,179.34,1144200,10/30/20
WM,"Waste Management",107.91,0.36,+0.33%,108.33,106.22,1930795,10/30/20
WMB,"Williams Companies",19.19,0.09,+0.47%,19.2,18.6,8927902,10/30/20
WMT,"Wal-Mart Stores",138.75,-1.17,-0.84%,140.09,137.37,6202739,10/30/20
WRB,"W.R. Berkley Corp",60.12,-0.92,-1.51%,61.56,59.61,980469,10/30/20
WRK,"Westrock Company",37.55,0.12,+0.32%,37.79,36.82,2421160,10/30/20
WST,"West Pharmaceutical Services",272.07,-3.16,-1.15%,276.3,264.79,439107,10/30/20
WU,"Western Union Company",19.44,-1.46,-6.99%,20.68,19.07,8116329,10/30/20
WY,"Weyerhaeuser Company",27.29,-1.12,-3.94%,28.27,26.57,6824277,10/30/20
WYNN,"Wynn Resorts Ltd",72.43,0.24,+0.33%,73.31,70.25,3305700,10/30/20
XEL,"XCEL Energy Inc",70.03,-0.71,-1.00%,70.95,69.31,2393800,10/30/20
XLNX,"Xilinx Inc",118.69,-4.21,-3.43%,122.36,116.95,6826500,10/30/20
XOM,"Exxon Mobil Corp",32.62,-0.35,-1.06%,33.14,32.01,47897924,10/30/20
XRAY,"Dentsply Sirona Inc",47.19,2.39,+5.33%,47.25,44.94,1720000,10/30/20
XRX,"Xerox Corp",17.38,-0.27,-1.53%,17.66,17.05,2974070,10/30/20
XYL,"Xylem Inc",87.14,0.28,+0.32%,88.01,85.64,851689,10/30/20
YUM,"Yum! Brands",93.33,-1.61,-1.70%,95.21,92.35,2138975,10/30/20
ZBH,"Zimmer Biomet Holdings",132.1,-1.74,-1.30%,134.82,130.05,1256420,10/30/20
ZBRA,"Zebra Technologies",283.64,-8.33,-2.85%,290.97,281.02,304300,10/30/20
ZION,"Zions Bancorp",32.27,0.71,+2.25%,32.31,31.24,1732100,10/30/20
ZTS,"Zoetis Inc Cl A",158.55,-2.64,-1.64%,161.32,156.25,2078341,10/30/20
"Downloaded from Barchart.com as of 11-01-2020 10:05am CST"
